common_name,matches_played,goals_scored_per_match,xg_for_avg_overall,Finishing_Efficiency
Ivory Coast,3,2.33,0.74,3.1486486486486487
Austria,3,2.33,0.77,3.025974025974026
Belgium,3,2.67,1.03,2.5922330097087376
Morocco,4,3.0,1.28,2.34375
British Virgin Islands,3,1.67,0.75,2.2266666666666666
Brazil,3,3.33,1.52,2.1907894736842106
Costa Rica,3,1.0,0.49,2.0408163265306123
Australia,3,2.0,0.99,2.0202020202020203
Bulgaria,3,3.67,1.86,1.9731182795698923
Nigeria,4,2.0,1.04,1.923076923076923
Algeria,3,2.67,1.39,1.920863309352518
Iceland,4,0.75,0.44,1.7045454545454546
Haiti,3,1.67,0.98,1.7040816326530612
Switzerland,3,2.33,1.38,1.6884057971014494
Cape Verde Islands,3,2.0,1.21,1.6528925619834711
Panama,6,1.67,1.05,1.5904761904761904
Trinidad and Tobago,4,0.75,0.48,1.5625
Liechtenstein,3,0.67,0.44,1.5227272727272727
Senegal,3,2.33,1.55,1.5032258064516129
Jordan,3,1.67,1.12,1.4910714285714284
USMNT,3,1.67,1.18,1.4152542372881356
Ghana,4,0.75,0.54,1.3888888888888888
Egypt,3,1.67,1.22,1.3688524590163935
France,3,2.0,1.47,1.3605442176870748
Colombia,3,1.67,1.28,1.3046875
Finland,3,1.0,0.77,1.2987012987012987
Germany,3,3.33,2.61,1.2758620689655173
Zimbabwe,4,1.25,1.01,1.2376237623762376
Georgia,3,1.67,1.36,1.227941176470588
Curaçao,3,0.67,0.55,1.2181818181818183
Montenegro,3,1.67,1.38,1.210144927536232
Cyprus,3,1.33,1.14,1.1666666666666667
Scotland,3,1.33,1.18,1.1271186440677967
Dominican Republic,3,1.67,1.54,1.0844155844155843
Republic of Ireland,3,2.0,1.88,1.0638297872340425
Netherlands,3,1.0,0.94,1.0638297872340425
Norway,3,1.33,1.26,1.0555555555555556
Mexico,7,1.43,1.37,1.0437956204379562
Ecuador,3,1.33,1.29,1.0310077519379846
Slovenia,3,1.33,1.3,1.023076923076923
New Zealand,3,1.33,1.31,1.015267175572519
Croatia,3,1.0,1.03,0.970873786407767
Kenya,3,1.67,1.74,0.9597701149425287
Canada,4,1.25,1.32,0.9469696969696969
South Korea,4,1.5,1.62,0.9259259259259258
Bolivia,3,1.33,1.59,0.8364779874213837
Spain,3,1.33,1.73,0.7687861271676301
Uzbekistan,3,1.0,1.33,0.7518796992481203
Saudi Arabia,3,0.67,0.91,0.7362637362637363
Japan,3,1.0,1.5,0.6666666666666666
Russia,3,1.0,1.69,0.591715976331361
Greece,3,0.67,1.3,0.5153846153846154
Serbia,3,0.67,1.37,0.48905109489051096
South Africa,3,0.67,1.4,0.47857142857142865
Tunisia,3,0.33,0.69,0.47826086956521746
Andorra,4,0.5,1.06,0.4716981132075471
Guinea,3,0.67,1.43,0.4685314685314686
Grenada,4,0.0,0.47,0.0
FYR Macedonia,3,0.0,0.17,0.0
