team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2026,Finland,3,0,3,0,1,0,1,1,0,1,1,0,1,1.33,0,1.33,0,0,0,48,3,5,-2,8,0,8,0,3,0,5,0,-2,90,0,90,54,0,54,1,0,1,1,0,1,1,0,1,2,0,2,16,0,16,0,0,0,44,0,44,30,0,30,9,0,9,21,0,21,25,0,25,2,0,2,1,0,1,1,0,1,2,0,2,0,0,0,1,0,1,2,0,2,2.67,0,2.67,1,0,1,1.67,0,1.67,1,0,1,0.67,0,0.67,0.33,0,0.33,3,3,1,1,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,2,2,3,3,100,100,33,33,0,0,0,0,0,0,0,0,100,100,33,33,0,0,0,0,67,67,100,100,0,0,0,0,0,0,0,0,67,67,100,100,3,0,0,0,0,0,3,0,0,100,0,0,0,0,0,100,0,0,33,0,33,0,33,0,33,33,0,33,33,0,33,67,0,67,2,0,2,67,0,67,1,0,1,33,0,33,0,0,0,0,0,0,67,0,67,0,0,0,33,0,33,5.33,0.00,5.33,0,0,0.00,100,100,100,67,67,67,67,33,0.77,0.00,1.10,1.43,0.00,1.76,100,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,2,0,0,33,0,33,33,0,33,0
Switzerland National Team,Switzerland,2026,Switzerland,3,2,1,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,0,0,0,52,7,5,2,12,12,0,7,0,5,0,2,0,39,26,0,54,36,0,1,0,1,2,2,0,1,0,1,2,2,0,8,6,2,0,0,0,57,58,56,36,26,10,14,13,1,22,13,9,24,16,8,5,5,0,2,2,0,3,3,0,1,1,0,2,1,1,0,0,0,1.67,2,1,4,6,0,2.33,3.5,0,1.67,2.5,0,2.33,3.5,0,1.67,2.5,0,0.67,1,0,2,2,2,2,2,1,2,2,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,67,67,67,67,67,33,100,100,100,100,100,50,0,0,0,0,0,0,33,33,33,33,33,67,0,0,0,0,0,50,100,100,100,100,100,100,2,2,2,2,2,2,0,0,0,67,67,67,100,100,100,0,0,0,33,50,0,0,33,0,100,67,100,0,33,0,100,67,100,0,2,1,1,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,33,50,0,67,50,100,0,0,0,2.67,3.00,2.00,0,0,0.00,67,67,67,67,0,0,0,0,1.38,1.56,1.02,1.46,1.88,0.63,133,0,1,1,1,2,0,0,2,0,0,0,1,0,1,1,1,0,1,33,0,100,33,50,0,0
Portugal National Team,Portugal,2026,Portugal,2,0,2,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,51,2,0,2,2,0,2,0,2,0,0,0,2,90,0,90,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,12,0,12,2,0,2,65,0,65,21,0,21,7,0,7,14,0,14,15,0,15,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,1,1,2,2,2,2,50,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,50,100,100,100,100,0,0,0,0,0,0,50,50,100,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,50,0,0,50,0,50,0,100,0,100,0,0,0,50,0,50,50,0,50,2,0,2,100,0,100,1,0,1,50,0,50,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,6.00,0.00,6.00,1,0,1.00,50,50,50,50,0,0,0,0,0.78,0.00,1.28,0.48,0.00,0.98,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0
Norway National Team,Norway,2026,Norway,3,2,1,0,1,1,0,1,1,0,1,0,1,1.33,2,0,0,0,0,47,4,3,1,7,4,3,3,1,1,2,2,-1,68,60,90,90,180,45,1,1,0,2,1,1,1,1,0,2,1,1,12,10,2,1,0,1,50,50,52,32,27,5,10,8,2,22,19,3,20,11,9,4,3,1,1,0,1,3,3,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.33,2,3,1.33,1.5,1,1,0.5,2,1.67,1.5,2,1.33,1.5,1,0.33,0,1,2,2,2,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,2,3,3,1,1,1,1,2,2,0,0,0,1,1,1,67,67,67,33,0,0,50,50,50,50,0,0,100,100,100,0,0,0,33,33,33,67,100,100,50,50,50,50,100,100,0,0,0,100,100,100,2,2,1,1,1,1,1,1,0,67,67,33,50,50,50,100,100,0,33,50,0,32,33,50,0,67,50,100,33,50,0,67,50,100,2,2,0,67,100,0,1,1,0,33,50,0,1,0,1,33,0,100,33,50,0,67,50,100,0,0,0,4.00,5.00,2.00,0.33,0,1.00,67,33,33,33,0,0,0,0,1.26,1.54,0.71,1.27,1.08,1.65,67,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,33,50,0,33,0,100,0
Germany National Team,Germany,2026,Germany,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,0,0,0,3,10,4,6,14,7,7,6,4,1,3,5,1,27,30,23,68,180,30,1,1,0,2,1,1,0,0,0,2,2,0,29,19,10,1,1,0,63,67,54,67,45,22,27,18,9,40,27,13,32,20,12,4,2,2,2,0,2,2,2,0,2,2,0,1,0,1,0,0,0,2.33,3,1,4.67,3.5,7,3.33,3,4,1.33,0.5,3,2,1,4,1.33,1,2,0.67,0,2,3,3,3,2,1,1,2,2,2,1,0,0,1,1,1,1,1,1,0,0,0,1,2,2,0,0,0,1,2,2,0,0,0,0,0,0,100,100,100,67,33,33,100,100,100,50,0,0,100,100,100,100,100,100,0,0,0,33,67,67,0,0,0,50,100,100,0,0,0,0,0,0,3,1,1,2,0,0,1,1,1,100,33,33,100,0,0,100,100,100,100,100,100,26,33,50,0,67,50,100,0,0,0,67,100,0,2,2,0,67,100,0,0,0,0,0,0,0,1,0,1,33,0,100,67,100,0,33,0,100,0,0,0,9.67,9.50,10.00,0.33,0.5,0.00,100,100,100,100,67,67,67,0,2.61,2.64,2.54,0.71,0.65,0.83,133,0,0,1,1,3,1,2,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
England National Team,England,2026,England,2,2,0,0,0,0,0,1,1,0,1,1,0,0.5,0.5,0,0,0,0,120,1,2,-1,3,3,0,1,0,2,0,-1,0,180,180,0,90,90,0,0,0,0,1,1,0,1,1,0,1,1,0,18,18,0,1,1,0,62,62,0,32,32,0,9,9,0,23,23,0,14,14,0,0,0,0,1,1,0,-1,-1,0,0,0,0,1,1,0,1,1,0,0.5,0.5,0,1.5,1.5,0,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,1,2,2,2,2,0,0,0,0,0,0,100,50,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,0,50,100,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,50,50,0,1,1,0,50,50,0,2,2,0,100,100,0,0,0,0,0,0,0,0,0,0,50,50,0,50,50,0,9.00,9.00,0.00,0.5,0.5,0.00,100,50,50,50,50,50,0,0,1.28,1.78,0.00,0.32,0.82,0.00,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,50,50,0,50,50,0,0
France National Team,France,2026,France,3,1,2,0,2,0,2,0,0,0,1,1,0,2,0,3,0,0,0,23,6,4,2,10,3,7,1,5,2,2,-1,3,45,90,36,68,45,90,0,0,0,3,1,2,0,0,0,3,1,2,15,8,7,8,0,8,56,60,55,36,15,21,14,6,8,22,9,13,33,8,25,4,1,3,0,0,0,4,1,3,3,1,2,0,0,0,0,0,0,3,3,3,3.33,3,3.5,2,1,2.5,1.33,2,1,1.33,1,1.5,1.33,1,1.5,0,0,0,3,3,3,1,0,0,1,1,1,0,0,0,2,2,2,1,0,0,0,0,0,2,3,3,0,0,0,1,1,1,0,0,0,1,2,2,100,100,100,33,0,0,100,100,100,0,0,0,100,100,100,50,0,0,0,0,0,67,100,100,0,0,0,100,100,100,0,0,0,50,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,67,0,100,-50,0,0,0,100,100,100,0,0,0,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,5.00,8.00,3.50,2.67,0,4.00,100,67,67,67,33,33,33,33,1.47,1.89,1.26,1.36,0.84,1.61,100,0,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,33,100,0,0
Ivory Coast National Team,Ivory Coast,2026,Ivory Coast,3,1,2,0,3,1,2,0,0,0,0,0,0,3,3,3,0,0,0,5,7,1,6,8,1,7,1,6,0,1,1,5,39,90,30,273,0,180,2,1,1,1,0,1,0,0,0,2,1,1,12,5,7,1,0,1,47,53,45,32,12,20,14,3,11,18,9,9,25,9,16,3,1,2,1,0,1,2,1,1,2,1,1,0,0,0,1,0,1,2,3,1.5,2.67,1,3.5,2.33,1,3,0.33,0,0.5,1.33,1,1.5,1,1,1,0.33,0,0.5,3,2,2,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,1,1,2,3,3,0,1,1,1,1,1,0,0,0,1,2,2,100,67,67,33,0,0,100,0,0,0,0,0,100,100,100,50,0,0,0,33,33,67,100,100,0,100,100,100,100,100,0,0,0,50,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,100,100,100,22,67,100,50,33,0,50,0,0,0,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,0,0,0,67,100,50,0,0,0,33,0,50,4.00,5.00,3.50,0.33,0,0.50,100,100,100,100,67,67,0,0,0.74,0.00,1.24,1.05,0.00,1.55,67,0,1,0,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uruguay National Team,Uruguay,2026,Uruguay,2,0,2,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,101,1,1,0,2,0,2,0,1,0,1,0,0,180,0,180,180,0,180,1,0,1,1,0,1,1,0,1,0,0,0,6,0,6,5,0,5,53,0,53,20,0,20,2,0,2,18,0,18,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,1,1,2,2,2,2,50,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,50,50,100,100,100,100,0,0,0,0,0,0,50,50,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,50,0,50,0,0,0,2,0,2,100,0,100,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,3.00,0.00,3.00,2.5,0,2.50,100,50,50,50,50,0,0,0,0.43,0.00,0.93,0.57,0.00,1.07,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100,0,100,0,0,0,0
Brazil National Team,Brazil,2026,Brazil,3,3,0,0,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0,17,10,5,5,15,15,0,10,0,5,0,5,0,27,27,0,54,54,0,0,0,0,3,3,0,0,0,0,2,2,0,8,8,0,5,5,0,49,49,0,50,50,0,23,23,0,27,27,0,38,38,0,3,3,0,2,2,0,1,1,0,2,2,0,0,0,0,1,1,0,2,2,0,5,5,0,3.33,3.33,0,1.67,1.67,0,1.67,1.67,0,1,1,0,0.67,0.67,0,3,3,3,2,1,1,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,0,0,0,0,0,0,100,100,100,67,33,33,100,100,100,67,33,33,0,0,0,0,0,0,0,0,0,33,67,67,0,0,0,33,67,67,0,0,0,0,0,0,3,1,1,3,1,1,0,0,0,100,33,33,100,33,33,0,0,0,67,67,0,0,0,0,0,100,100,0,0,0,0,67,67,0,1,1,0,33,33,0,1,1,0,33,33,0,1,1,0,33,33,0,67,67,0,0,0,0,33,33,0,2.67,2.67,0.00,1.67,1.67,0.00,33,0,0,0,0,0,0,0,1.52,1.85,0.00,1.02,1.36,0.00,167,1,0,0,1,1,2,1,1,3,0,1,0,1,0,0,1,0,2,0,0,0,33,33,0,0
