team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,recent_form,points_per_game,clean_sheet_rate,both_teams_to_score_rate,expected_goals_for,bookings_per_match,corners_per_match,over_1_5_goals_rate,over_2_5_goals_rate,average_goals_per_match,points_per_game_scaled,goal_difference_scaled,expected_goals_for_scaled,clean_sheet_rate_scaled,matches_played_scaled,contender_score,total_expected_goals,attacking_efficiency,goals_against_per_match,defensive_strength_score,entertainment_score,high_intensity_index,football_intelligence_index
Mexico,8,6,2,0,15,2,13,20,"D
D
W
W
W",2.5,75.0,25.0,1.43,3.5,8.0,50.0,25.0,2.13,0.8181818181818182,1.0,0.5478927203065134,0.75,1.0,0.8175330895158482,11.44,1.3111888111888113,0.25,0.8700000000000001,0.2967956120092378,0.6034484475205646,0.7316112963997674
Morocco,4,3,1,0,12,2,10,10,"D
W
W
W",2.5,50.0,50.0,1.28,5.33,6.67,100.0,75.0,3.5,0.8181818181818182,0.8636363636363638,0.49042145593869735,0.5,0.19999999999999996,0.6544479275513759,5.12,2.34375,0.5,0.7127272727272728,0.6758949191685911,0.5937189567871807,0.752045654184795
Austria,3,3,0,0,7,1,6,9,"W
W
W",3.0,67.0,33.0,0.77,3.0,8.0,33.0,33.0,2.67,0.9999999999999999,0.6818181818181819,0.2950191570881226,0.67,0.0,0.6299583768721699,2.31,3.0303030303030303,0.3333333333333333,0.7643636363636364,0.362973441108545,0.43781176321721366,0.702275647839844
Ivory Coast,3,3,0,0,7,1,6,9,"W
W
W",3.0,67.0,33.0,0.74,0.33,11.33,67.0,67.0,2.67,0.9999999999999999,0.6818181818181819,0.2835249042145594,0.67,0.0,0.6276595262974574,2.2199999999999998,3.1531531531531534,0.3333333333333333,0.7643636363636364,0.515973441108545,0.4732759179805897,0.742922459665256
Germany,3,3,0,0,10,4,6,9,"W
W
W",3.0,33.0,67.0,2.61,1.33,12.0,100.0,100.0,4.67,0.9999999999999999,0.6818181818181819,1.0,0.33,0.0,0.7199545454545454,7.83,1.277139208173691,1.3333333333333333,0.5083636363636364,0.88194688221709,0.645633824963265,0.7137512157236984
Japan,3,3,0,0,3,0,3,9,"W
W
W",3.0,100.0,0.0,1.5,2.33,9.67,0.0,0.0,1.0,0.9999999999999999,0.5454545454545454,0.5747126436781609,1.0,0.0,0.7013061650992685,4.5,0.6666666666666666,0.0,0.9090909090909092,0.019053117782909926,0.3496952914565077,0.5333744444682653
Canada,4,2,2,0,5,2,3,8,"W
D
D
W",2.0,75.0,25.0,1.32,4.25,11.5,50.0,25.0,1.75,0.6363636363636364,0.5454545454545454,0.5057471264367817,0.75,0.19999999999999996,0.5609221525600836,5.28,0.9469696969696969,0.5,0.7490909090909093,0.2748556581986143,0.5661659878799292,0.5651662858277233
Nigeria,4,2,2,0,8,5,3,8,"W
D
W
D",2.0,25.0,75.0,1.04,4.0,7.5,100.0,75.0,3.25,0.6363636363636364,0.5454545454545454,0.3984674329501916,0.25,0.19999999999999996,0.4644662138627656,4.16,1.923076923076923,1.25,0.45909090909090905,0.736460739030023,0.5366190584090103,0.586700645313069
Panama,6,2,2,2,10,12,-2,8,"L
D
W
L
W",1.33,0.0,83.0,1.05,3.33,6.84,83.0,50.0,3.67,0.3927272727272728,0.31818181818181823,0.40229885057471265,0.0,0.6000000000000001,0.33782340647857895,6.300000000000001,1.5873015873015872,2.0,0.2236363636363637,0.6802101616628176,0.5392906845348446,0.45673303771917617
Algeria,3,2,1,0,8,0,8,7,"W
D
W",2.33,100.0,0.0,1.39,2.33,10.66,33.0,33.0,2.67,0.7563636363636363,0.7727272727272727,0.5325670498084291,1.0,0.0,0.6766043190525949,4.17,1.9184652278177459,0.0,0.9545454545454546,0.26397344110854504,0.48823811681802043,0.6916131046510574
Republic of Ireland,3,2,1,0,6,0,6,7,"D
W
W",2.33,100.0,0.0,1.88,2.0,10.67,33.0,33.0,2.0,0.7563636363636363,0.6818181818181819,0.7203065134099617,1.0,0.0,0.6914249390456287,5.64,1.0638297872340425,0.0,0.9363636363636364,0.22528983833718244,0.4369872266461069,0.6180135690101214
Egypt,3,2,1,0,5,0,5,7,"W
D
W",2.33,100.0,0.0,1.22,3.33,9.0,33.0,33.0,1.67,0.7563636363636363,0.6363636363636365,0.4674329501915709,1.0,0.0,0.6294865900383142,3.66,1.366120218579235,0.0,0.9272727272727274,0.2062367205542725,0.39888412168723625,0.5959322037074142
Belgium,3,2,1,0,8,3,5,7,"W
D
W",2.33,33.0,67.0,1.03,3.67,8.0,100.0,33.0,3.67,0.7563636363636363,0.6363636363636365,0.3946360153256705,0.33,0.0,0.5144272030651341,3.09,2.5889967637540456,1.0,0.5392727272727273,0.5897101616628175,0.532444920183704,0.6428020246424342
Bulgaria,3,2,0,1,11,3,8,6,"W
W
L",2.0,33.0,33.0,1.86,2.0,8.33,33.0,33.0,4.67,0.6363636363636364,0.7727272727272727,0.7126436781609196,0.33,0.0,0.576119644723093,5.58,1.971326164874552,1.0,0.5665454545454546,0.4784468822170901,0.4953860030643493,0.6061724550362008
Brazil,3,2,0,1,10,5,5,6,"L
W
W",2.0,0.0,100.0,1.52,4.67,4.34,100.0,100.0,5.0,0.6363636363636364,0.6363636363636365,0.5823754789272031,0.0,0.0,0.4664750957854406,4.5600000000000005,2.1929824561403506,1.6666666666666667,0.32727272727272727,0.9999999999999999,0.514726631393298,0.6093180652453947
Australia,3,2,0,1,6,2,4,6,"W
W
L",2.0,33.0,33.0,0.99,0.67,6.0,33.0,33.0,2.67,0.6363636363636364,0.5909090909090909,0.37931034482758624,0.33,0.0,0.4639984326018809,2.9699999999999998,2.0202020202020203,0.6666666666666666,0.5701818181818182,0.362973441108545,0.25776052070397637,0.4752531058669716
Senegal,3,2,0,1,7,4,3,6,"W
W
L",2.0,33.0,67.0,1.55,1.67,11.67,100.0,67.0,3.67,0.6363636363636364,0.5454545454545454,0.5938697318007663,0.33,0.0,0.4955466736328805,4.65,1.5053763440860215,1.3333333333333333,0.48109090909090907,0.7087101616628175,0.5847791618357061,0.5879010972012468
France,3,2,0,1,6,4,2,6,"W
W
L",2.0,0.0,100.0,1.47,4.67,10.33,100.0,100.0,3.33,0.6363636363636364,0.5,0.5632183908045977,0.0,0.0,0.42855276907001044,4.41,1.3605442176870748,1.3333333333333333,0.33999999999999997,0.9035796766743648,0.6679301909038653,0.5763420040171339
South Korea,4,2,0,2,6,5,1,6,"L
L
W
W",1.5,50.0,0.0,1.62,2.5,10.0,50.0,50.0,2.75,0.4545454545454545,0.4545454545454546,0.6206896551724138,0.5,0.19999999999999996,0.46913793103448276,6.48,0.9259259259259258,1.25,0.5409090909090909,0.3450923787528868,0.4285393725734845,0.45110271441011807
Spain,3,1,2,0,4,1,3,5,"W
D
D",1.67,67.0,33.0,1.73,3.0,8.33,67.0,33.0,1.67,0.5163636363636364,0.5454545454545454,0.6628352490421456,0.67,0.0,0.5243397770811564,5.1899999999999995,0.7707129094412332,0.3333333333333333,0.7370909090909091,0.3392367205542725,0.3906593716710513,0.49284299931746617
Kenya,3,1,2,0,5,2,3,5,"D
W
D",1.67,33.0,67.0,1.74,3.0,7.0,100.0,33.0,2.33,0.5163636363636364,0.5454545454545454,0.6666666666666667,0.33,0.0,0.4741060606060606,5.22,0.9578544061302683,0.6666666666666666,0.5610909090909092,0.5123429561200924,0.4098796163874028,0.47882114916887786
Ecuador,3,1,2,0,4,3,1,5,"D
D
W",1.67,0.0,100.0,1.29,2.33,6.33,100.0,33.0,2.33,0.5163636363636364,0.4545454545454546,0.4942528735632184,0.0,0.0,0.3673960292580982,3.87,1.0335917312661498,1.0,0.37090909090909097,0.6113429561200924,0.38966192104493924,0.4089141542949835
Bolivia,3,1,1,1,4,2,2,4,"D
L
W",1.33,33.0,33.0,1.59,4.33,10.34,67.0,33.0,2.0,0.3927272727272728,0.5,0.6091954022988506,0.33,0.0,0.4141572622779519,4.7700000000000005,0.8385744234800838,0.6666666666666666,0.552,0.3582898383371825,0.5158265670458848,0.4545209328263433
Switzerland,3,1,1,1,7,5,2,4,"L
D
W",1.33,33.0,67.0,1.38,0.0,8.67,67.0,67.0,4.0,0.3927272727272728,0.5,0.5287356321839081,0.33,0.0,0.39806530825496345,4.14,1.6908212560386475,1.6666666666666667,0.43200000000000005,0.6947632794457275,0.4090761957730812,0.4943811590463943
Russia,3,1,1,1,3,2,1,4,"W
D
L",1.33,33.0,33.0,1.69,3.67,11.0,33.0,33.0,1.67,0.3927272727272728,0.4545454545454546,0.6475095785440613,0.33,0.0,0.41045646116335777,5.07,0.5917159763313609,0.6666666666666666,0.542909090909091,0.30523672055427253,0.4982413606731366,0.4221119725199843
Norway,3,1,1,1,4,3,1,4,"L
D
W",1.33,33.0,67.0,1.26,0.67,7.67,67.0,67.0,2.33,0.3927272727272728,0.4545454545454546,0.4827586206896552,0.33,0.0,0.3775062695924765,3.7800000000000002,1.0582010582010581,1.0,0.502909090909091,0.5983429561200924,0.33377720590976057,0.4237116756023253
